idAccounts,AccountRef,AccountName,Description,AccountOwner,Currency,AccountType,BananaCode,Source,SourceRef,Follow,ShapeShift
5,BitstampBTC1,"Bitstamp BTC Wallet","Bitstamp BTC transfer",1,BTC,Wallet,NULL,Bitstamp,NULL,Y,
6,BitstampUSD1,"Bitstamp USD Trading","Bitstamp USD holding",1,USD,Money,NULL,Bitstamp,NULL,Y,
7,BitstampUSD2,"Bitstamp USD Deposit","For moving USD",1,USD,Money,NULL,NULL,NULL,Y,
8,BitstampGBP1,"Bitstamp GBP Deposit","For moving GBP",1,GBP,Money,NULL,NULL,NULL,Y,
9,0xf7bC7Dcf3290615993888D9c10114bB02360C467,"Bitstamp ETH Deposit","ETH transfer",1,ETH,Wallet,NULL,Bitstamp,NULL,Y,
12,BitstampBTC2,"Bitstamp BTC Trading","BTC Trading",1,BTC,Trading,NULL,Bitstamp,NULL,Y,
13,BitstampETH1,"Bitstamp ETH Trading","ETH Trading",1,ETH,Trading,NULL,Bitstamp,NULL,Y,
466,0xCaa00a08005893c47EB7d5b781b1384644d6c09c,"Bitstamp ETH Deposit","ETC to ETH",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
467,BitstampETH2,"Bitstamp ETH Trading","ETH Trading",2,ETH,Trading,NULL,Bitstamp,NULL,Y,
468,BitstampBTC3,"Bitstamp BTC Trading","BTC Trading",2,BTC,Trading,NULL,Bitstamp,NULL,Y,
469,BitstampBTC4,"Bitstamp BTC Deposit","BTC Transfer",2,BTC,Wallet,NULL,Bitstamp,NULL,Y,
470,BitstampUSD3,"Bitstamp USD Trading","Bitstamp USD holding",2,USD,Money,NULL,Bitstamp,NULL,Y,
471,BitstampUSD4,"Bitstamp USD Deposit","Moving USD",2,USD,Money,NULL,NULL,NULL,Y,
472,BitstampGBP2,"Bitstamp GBP Deposit","Moving GBP",2,GBP,Money,NULL,NULL,NULL,Y,
473,0x0466cf48df4b826272f591c89934720aa7ade8c4,"Bitstamp ETH Deposit","ETH Transfer",3,ETH,Wallet,NULL,NULL,NULL,Y,
474,dummy2,"Bitstamp ETH Trading","ETH Trading",3,ETH,Trading,NULL,NULL,NULL,N,
475,dummy4,"Bitstamp USD Deposit","Moving USD",3,USD,Money,,NULL,NULL,N,
476,dummy3,"Bitstamp GBP Deposit","Moving GBP",3,GBP,Money,NULL,NULL,NULL,N,
477,dummy5,"Bitstamp USD Trading","Bitstamp USD Holding",3,USD,Trading,NULL,NULL,NULL,N,
485,"GENESIS Richard","ETH GENESIS",NULL,1,ETH,NULL,NULL,NULL,NULL,N,
486,"GENESIS David","ETH GENESIS",NULL,2,ETH,NULL,NULL,NULL,NULL,N,
2658,0x34a85d6d243fb1dfb7d1d2d44f536e947a4cee9e,Genesis,"Davids Genesis",2,ETH,Wallet,NULL,Genesis,NULL,Y,
2659,0xf51fded80acb502890e87369741f3722514cefff,Genesis,"Richards Genesis",1,ETH,Wallet,NULL,Genesis,NULL,Y,
2660,0x999de92fc7b4f9E3741bf032f6178db6bA4A37e6,"Post split","Davids post split",2,ETH,Wallet,NULL,NULL,NULL,Y,
2661,0x355db2ec54668038870d6ae87431b8ccb2c04653,"Cold Storage","Davids Cold Storage",2,ETH,Wallet,NULL,Cold,NULL,Y,
2662,0xd5fbb237f5200b097031025cdb914c4595bceffa,"Geth Cold Storage","Richards Geth Cold Storage",1,ETH,Wallet,NULL,Cold,NULL,Y,
2663,0xd6e9b5b8f8f2e5a53cf864c8a63dc59e1e82879f,"Cold Storage","Steve Marstons cold storage",5,ETH,Wallet,NULL,Cold,NULL,Y,
2664,0x6d5319b95d4ba3d3c8193987e183b04cb86ffbc8,ReplaySafeSplit,"Steve Marstons ReplaySafeSplit",5,ETH,Wallet,NULL,ReplaySafe,NULL,Y,
2665,0x778e6c8af0BB56a92646d45165C8411d8D1ea663,"Cold Storage","Richards Cold Storage",1,ETH,Wallet,NULL,Cold,NULL,Y,Output
2666,0x1003F3Ff5cfDC9E9461DAf293B1fFd147Cd23FEa,"blur august","ETC to ETH",1,ETH,Wallet,NULL,Jaxx,NULL,Y,Output
2667,0x0aFa235C9D6a59c227Be92995b7E55a4dbC9cC19,"Offline wallet","Davids Offline",2,ETH,Wallet,NULL,NULL,NULL,Y,
2668,0xd6b938900f9A971a346caf86dC226357f58c2E41,"tape riot","ETH to BTC",26,ETH,Wallet,NULL,Jaxx,NULL,Y,
2669,0xe3C6F0f410FCb51931Ea964feF53b2f7f1013465,"online shrug","ETH to BTC",26,ETH,Wallet,NULL,Jaxx,NULL,Y,
2670,0xE5bc7C45aB28dDEf97a57e09c5347619f0Ab86a5,"antenna stamp","Richards JaxxR1 for Liquidation",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2671,0xD68DEDe16Bb423a62292b7163c33F1D4f64DBa77,"over place","ETH to BTC",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2672,0x78DCB9fcA7B59E0443D3fC8a83c84E48C0CC9702,"female name","ETH to BTC",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2673,0x131ad6992f1271926b336bd281b69619e4eb8c4f,0x131ad6,"Davids Jaxx5 used by Kevin",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
2674,0x0415e69827a17aa6c40e58c32a3806761b3a00a9,"above anchor","ETH to BTC",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2675,0x11a909e79Ae1C54882F71f047102EA357bCE0D03,"way review","ETH to BTC",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
2676,0x81bef8dc305e7297b80839755198e54f3e66cf81,"leader music","ETH to BTC",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2677,0xb12464e18f12cca3d19589563118b2b11a3ff30b,"response like","Jaxx also VEE token",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
2678,0x34ea7e3dcceffef909732bba92224f569b3f1848,"ginger shallow","ETH to BTC",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2679,0x0511433de02fca0bdac06dc79dda516108ac0400,0x051143,"Davids Jaxx6 for liquidation to BTC and Bitstamp",2,ETH,Wallet,NULL,Jaxx,NULL,Y,
2680,0xBe67401c5CDC6CEfc444c8A7fe89D102d4AFc24e,0xBe6740,"Richards JaxxR6 for Liquidation used by Kevin",1,ETH,Wallet,NULL,Jaxx,NULL,Y,
2681,0x67437abaeAeCE5083f9DE6E1122739Cb39A9ddF4,"Bruces Wallet","Bruces Wallet",9,ETH,Wallet,NULL,NULL,NULL,Y,
2682,0x9Fe63081885fc78a6fc25bFB0a14CB9187A95648,Gift,"Anna Helen or Alices 50 ETH gift",6,ETH,Wallet,NULL,NULL,NULL,Y,
2683,0xdE467aa06c214adD06A66f3578183Dd62699cDc9,Gift,"Anna Helen or Alices 50 ETH gift in Ledger",6,ETH,Wallet,NULL,Ledger,NULL,Y,
2684,0xddD341d985b21912E8DC3586cD31602CC89B31fB,Gift,"Martins 50 ETH gift",8,ETH,Wallet,NULL,NULL,NULL,Y,
2685,0x1D75DFfAfCe4a89571e60000A713AA628699bCA4,Gift,"Anna Helen or Alices 50 ETH gift",7,ETH,Wallet,NULL,NULL,NULL,Y,
2686,0x55ade47aE455B2814BA6F863b78F4DE92d2190C1,Gift,"Anna Helen or Alices 50 ETH gift moved to Ledger",6,ETH,Wallet,NULL,Ledger,NULL,Y,
2687,0x4664150F67eF3ffB693d499a7fF9E54c14A6EFca,"unaware drop","Marc Little gift of 10 ETH Jaxx",21,ETH,Wallet,NULL,Jaxx,NULL,Y,
2688,0xe7E3EDD7188DDfCfc17b144Cc38d2c8D90293C32,Gift,"Rosie gift of 10 ETH Jaxx",11,ETH,Wallet,NULL,Jaxx,NULL,Y,
2689,0x91aC3b4af8944A83a631fd9deDFd3C04333b4F39,"stay sing","1 ETH to Metamask for ENS registration",2,ETH,Wallet,NULL,NULL,NULL,Y,
2690,0x9dF172741f479E2Fb1009E6C153A51f873271afF,0x9dF172,"Frans ETH wallet 3 transfers of 5k GBP each",12,ETH,Wallet,NULL,NULL,NULL,Y,
2691,0x693E0eC17E9B4d18eEAdEE151C7087C5dA38ff3B,0x693E0e,"Avery Duffs wife Freddies wallet 1 ETH Xmas present",13,ETH,Wallet,NULL,NULL,NULL,Y,
2692,0xca113b239cfd6b9e559ee64286ccf1564dd5018e,0xca113b,"Avery Duff",13,ETH,Wallet,NULL,NULL,NULL,Y,
2693,0xf7bC7Dcf3290615993888D9c10114bB02360C467Copy,"Bitstamp ETH Deposit Address","Richards Bitstamp ETH Deposit Address",1,ETH,Wallet,NULL,NULL,NULL,Y,
